ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
4,democrat,0,1,1,0,NaN,1,0,0,0,0,1,0,1,0,0,1
20,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
50,republican,0,NaN,0,1,1,1,0,0,0,0,0,1,1,1,0,0
183,democrat,1,NaN,1,0,0,0,1,1,1,0,0,0,0,0,1,1
3,democrat,NaN,1,1,NaN,1,1,0,0,0,0,1,0,1,1,0,0
292,democrat,1,0,1,0,0,1,1,1,1,1,0,NaN,0,1,0,1
267,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
385,democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
191,republican,0,NaN,0,1,1,1,0,0,0,0,0,1,1,1,0,NaN
55,democrat,1,1,1,0,0,1,NaN,1,0,0,1,1,0,1,0,NaN
382,democrat,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,NaN
109,democrat,1,NaN,1,0,0,0,1,1,1,0,0,0,0,0,1,NaN
314,republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
298,democrat,1,1,1,0,0,1,1,1,1,1,0,0,NaN,0,1,NaN
215,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
221,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,NaN
79,democrat,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
253,democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
210,democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
274,republican,0,0,0,1,1,0,1,1,0,1,0,1,1,1,NaN,1
250,democrat,1,0,1,0,0,0,1,1,NaN,0,1,0,0,0,1,1
424,democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
206,democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
131,democrat,1,NaN,1,0,NaN,NaN,1,1,1,0,0,0,0,0,1,NaN
21,democrat,1,1,1,0,0,NaN,1,1,0,0,1,0,0,0,1,1
60,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,NaN
276,democrat,0,0,1,0,1,1,0,0,0,0,NaN,0,1,1,0,0
74,republican,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
195,democrat,0,0,1,0,0,1,1,NaN,1,1,1,0,0,0,1,1
308,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,NaN
87,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
220,democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
66,republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
139,democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
85,republican,0,NaN,0,1,1,1,0,0,0,1,0,1,1,1,0,0
321,democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
121,republican,0,NaN,NaN,1,1,1,0,0,0,1,0,1,1,1,NaN,1
241,republican,0,0,0,1,0,1,1,NaN,1,0,0,1,1,1,0,1
48,democrat,1,0,1,0,0,0,1,1,NaN,0,0,0,0,0,0,NaN
209,democrat,0,0,1,0,0,0,1,1,1,0,0,NaN,0,0,1,1
301,republican,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
93,democrat,1,1,1,0,0,0,1,1,0,1,1,0,0,NaN,1,1
273,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,NaN
255,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
62,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
211,democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
80,republican,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
383,democrat,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,NaN
112,republican,0,NaN,0,1,1,1,0,0,0,1,0,1,1,1,0,1
297,republican,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
18,democrat,1,NaN,1,0,0,0,1,1,1,0,0,0,1,0,1,1
379,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
27,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
317,democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
75,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
78,democrat,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
145,democrat,0,NaN,0,0,0,1,1,1,1,1,0,0,0,1,0,NaN
363,democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
10,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,NaN,NaN
291,democrat,1,0,1,0,NaN,1,NaN,1,1,1,0,0,1,1,0,1
284,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
369,democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
19,republican,0,1,0,1,1,1,0,0,0,0,0,NaN,1,1,0,0
12,republican,0,1,0,1,1,1,0,0,0,0,1,NaN,1,1,NaN,NaN
218,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
214,democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
29,republican,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
393,republican,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
23,democrat,1,NaN,1,0,0,0,1,1,1,0,0,NaN,0,0,1,1
208,republican,1,NaN,0,1,1,1,1,0,0,1,0,1,1,1,0,1
350,republican,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
311,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
355,democrat,0,1,1,0,0,1,1,1,1,1,0,NaN,0,0,1,1
30,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
174,democrat,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
69,democrat,1,NaN,1,0,0,0,1,1,1,0,0,0,1,0,1,1
343,democrat,0,1,1,0,1,NaN,1,0,0,1,1,0,1,0,1,1
202,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
252,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
182,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
133,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,NaN
258,republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,NaN,1
391,democrat,NaN,NaN,0,0,NaN,1,NaN,0,0,0,1,1,0,1,0,NaN
68,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
315,republican,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
106,democrat,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
186,democrat,1,0,1,0,0,0,1,1,1,1,0,NaN,0,0,1,1
340,republican,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
345,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
128,democrat,0,NaN,1,0,0,0,1,1,1,1,1,0,0,1,1,1
33,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
422,democrat,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
11,republican,0,1,0,1,1,0,0,0,0,0,NaN,NaN,1,1,0,0
279,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
70,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
161,democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
149,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
42,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,NaN
306,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
63,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,NaN
101,democrat,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
430,democrat,1,0,1,0,NaN,0,1,1,1,1,0,1,0,NaN,1,1
397,democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
421,republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
120,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
164,republican,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
230,republican,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
